"i","j","fij"
"BLR","AZE",626
"EST","AZE",662
"GEO","AZE",69766
"DEU","AZE",389
"IRN","AZE",2088
"KAZ","AZE",4940
"KGZ","AZE",3487
"MDA","AZE",386
"RUS","AZE",39234
"TJK","AZE",340
"TUR","AZE",2894
"TKM","AZE",2352
"UKR","AZE",3842
"UZB","AZE",23232
"ATG","BHS",13
"ARG","BHS",8
"AUS","BHS",27
"AUT","BHS",15
"BRB","BHS",234
"BEL","BHS",8
"BLZ","BHS",31
"BMU","BHS",34
"BWA","BHS",0
"BRA","BHS",36
"VGB","BHS",5
"BGR","BHS",0
"CAN","BHS",730
"CYM","BHS",9
"CHL","BHS",9
"CHN","BHS",67
"HKG","BHS",46
"COL","BHS",28
"CRI","BHS",10
"CUB","BHS",48
"DNK","BHS",8
"DMA","BHS",35
"DOM","BHS",44
"ECU","BHS",10
"EGY","BHS",9
"SLV","BHS",5
"EST","BHS",0
"SWZ","BHS",0
"FRA","BHS",38
"DEU","BHS",161
"GHA","BHS",23
"GRC","BHS",72
"GRD","BHS",28
"GTM","BHS",7
"GUY","BHS",419
"HTI","BHS",10894
"HND","BHS",7
"IND","BHS",160
"IDN","BHS",8
"IRL","BHS",55
"ITA","BHS",78
"JAM","BHS",2792
"JPN","BHS",5
"KEN","BHS",6
"MEX","BHS",21
"NLD","BHS",36
"NZL","BHS",14
"NIC","BHS",9
"NGA","BHS",30
"NOR","BHS",13
"PAK","BHS",15
"PAN","BHS",17
"PER","BHS",43
"PHL","BHS",64
"POL","BHS",12
"PRT","BHS",1
"ROU","BHS",0
"RUS","BHS",4
"KNA","BHS",13
"LCA","BHS",25
"VCT","BHS",20
"ZAF","BHS",21
"ESP","BHS",32
"LKA","BHS",24
"SWE","BHS",11
"CHE","BHS",85
"TTO","BHS",278
"TCA","BHS",2080
"UGA","BHS",0
"UKR","BHS",0
"GBR","BHS",1964
"USA","BHS",4247
"URY","BHS",2
"VEN","BHS",16
"ZWE","BHS",0
"AFG","BHR",215
"BGD","BHR",20442
"TCD","BHR",140
"EGY","BHR",21908
"ERI","BHR",508
"ETH","BHR",357
"FRA","BHR",57
"IND","BHR",60505
"IDN","BHR",6151
"JOR","BHR",3442
"KWT","BHR",1728
"LBN","BHR",728
"MAR","BHR",257
"NPL","BHR",228
"NLD","BHR",174
"NGA","BHR",187
"PAK","BHR",20949
"PHL","BHR",7934
"QAT","BHR",8
"SAU","BHR",61
"SOM","BHR",340
"SSD","BHR",522
"LKA","BHR",5863
"PSE","BHR",1531
"SDN","BHR",4235
"SYR","BHR",1777
"THA","BHR",294
"TUN","BHR",155
"TUR","BHR",1291
"ARE","BHR",771
"GBR","BHR",1614
"USA","BHR",453
"YEM","BHR",5876
"BHR","BGD",89
"BRA","BGD",552
"KHM","BGD",12924
"CHN","BGD",140163
"IND","BGD",13339
"IDN","BGD",70627
"JPN","BGD",9042
"LAO","BGD",58722
"MYS","BGD",92533
"MMR","BGD",225851
"NPL","BGD",9670
"NOR","BGD",4240
"SGP","BGD",10556
"THA","BGD",15503
"GBR","BGD",9090
"USA","BGD",28559
"VNM","BGD",40088
"ATG","BRB",226
"AUS","BRB",24
"BHS","BRB",55
"CAN","BRB",668
"DMA","BRB",451
"GRD","BRB",565
"GUY","BRB",2557
"IND","BRB",441
"JAM","BRB",622
"LCA","BRB",3317
"VCT","BRB",3676
"TTO","BRB",1750
"GBR","BRB",2988
"USA","BRB",1112
"AFG","BLR",140
"DZA","BLR",27
"ARG","BLR",76
"ARM","BLR",6645
"AUS","BLR",21
"AUT","BLR",44
"AZE","BLR",15651
"BEL","BLR",28
"BRA","BLR",69
"BGR","BLR",30
"CAN","BLR",85
"CUB","BLR",22
"CZE","BLR",83
"PRK","BLR",97
"DNK","BLR",130
"EST","BLR",3429
"ETH","BLR",11
"FIN","BLR",1185
"GEO","BLR",9868
"DEU","BLR",32
"GRC","BLR",164
"HUN","BLR",291
"IND","BLR",24
"IRN","BLR",25
"IRL","BLR",16
"ISR","BLR",192
"ITA","BLR",10
"JOR","BLR",13
"KAZ","BLR",81148
"KGZ","BLR",6071
"LVA","BLR",11085
"LBN","BLR",32
"LTU","BLR",18380
"MNG","BLR",96
"NOR","BLR",49
"PAK","BLR",24
"POL","BLR",235
"KOR","BLR",22
"MDA","BLR",8826
"ROU","BLR",10
"RUS","BLR",791522
"SRB","BLR",16
"SVK","BLR",25
"ESP","BLR",31
"SWE","BLR",190
"CHE","BLR",22
"SYR","BLR",40
"TJK","BLR",6587
"TUR","BLR",11
"TKM","BLR",6339
"UKR","BLR",261845
"ARE","BLR",15
"GBR","BLR",340
"USA","BLR",42
"URY","BLR",21
"UZB","BLR",17154
"VNM","BLR",182
"YEM","BLR",14
"AFG","BEL",93
"ALB","BEL",2157
"DZA","BEL",26077
"AGO","BEL",1282
"ARG","BEL",1156
"ARM","BEL",7
"AUS","BEL",681
"AUT","BEL",1293
"AZE","BEL",8
"BHS","BEL",13
"BHR","BEL",55
"BGD","BEL",554
"BRB","BEL",20
"BLR","BEL",150
"BEN","BEL",1748
"BTN","BEL",158
"BOL","BEL",778
"BIH","BEL",308
"BWA","BEL",24
"BRA","BEL",1585
"BGR","BEL",996
"BFA","BEL",488
"BDI","BEL",1251
"CPV","BEL",459
"KHM","BEL",986
"CMR","BEL",2109
"CAN","BEL",2638
"CAF","BEL",190
"TCD","BEL",202
"CHL","BEL",4908
"CHN","BEL",4851
"COL","BEL",1897
"COG","BEL",6195
"CRI","BEL",136
"CIV","BEL",642
"HRV","BEL",48
"CUB","BEL",335
"CYP","BEL",77
"CZE","BEL",37
"PRK","BEL",1679
"COD","BEL",45711
"DNK","BEL",2030
"DJI","BEL",76
"DMA","BEL",97
"DOM","BEL",1804
"ECU","BEL",1603
"EGY","BEL",1638
"SLV","BEL",276
"GNQ","BEL",2142
"ERI","BEL",1
"EST","BEL",58
"ETH","BEL",3433
"FJI","BEL",15
"FIN","BEL",473
"FRA","BEL",109361
"GAB","BEL",308
"GMB","BEL",194
"GEO","BEL",184
"DEU","BEL",55851
"GHA","BEL",2921
"GRC","BEL",19584
"GTM","BEL",5732
"GIN","BEL",795
"GNB","BEL",124
"GUY","BEL",92
"HTI","BEL",1799
"HND","BEL",96
"HUN","BEL",1309
"ISL","BEL",117
"IND","BEL",5343
"IDN","BEL",1692
"IRN","BEL",3157
"IRQ","BEL",70
"IRL","BEL",1630
"ISR","BEL",4093
"ITA","BEL",176201
"JAM","BEL",264
"JPN","BEL",3001
"JOR","BEL",467
"KAZ","BEL",16
"KEN","BEL",536
"KWT","BEL",136
"KGZ","BEL",8
"LAO","BEL",1032
"LVA","BEL",75
"LBN","BEL",4357
"LSO","BEL",8
