"i","j","fij"
"CYP","AUT",83
"CZE","AUT",18639
"PRK","AUT",935
"COD","AUT",173
"DNK","AUT",444
"DJI","AUT",1
"DMA","AUT",20
"DOM","AUT",1223
"ECU","AUT",204
"EGY","AUT",3003
"SLV","AUT",22
"GNQ","AUT",3
"ERI","AUT",32
"EST","AUT",152
"SWZ","AUT",8
"ETH","AUT",412
"FJI","AUT",6
"FIN","AUT",638
"FRA","AUT",2703
"GAB","AUT",5
"GMB","AUT",36
"GEO","AUT",878
"DEU","AUT",60583
"GHA","AUT",578
"GRC","AUT",794
"GRD","AUT",5
"GUM","AUT",0
"GTM","AUT",101
"GIN","AUT",35
"GNB","AUT",4
"GUY","AUT",8
"HTI","AUT",20
"HND","AUT",32
"HUN","AUT",9636
"ISL","AUT",57
"IND","AUT",3109
"IDN","AUT",449
"IRN","AUT",3708
"IRQ","AUT",1146
"IRL","AUT",241
"ISR","AUT",617
"ITA","AUT",10742
"JAM","AUT",66
"JPN","AUT",1153
"JOR","AUT",126
"KAZ","AUT",378
"KEN","AUT",366
"KWT","AUT",50
"KGZ","AUT",236
"LAO","AUT",38
"LVA","AUT",307
"LBN","AUT",406
"LSO","AUT",3
"LBR","AUT",25
"LBY","AUT",104
"LIE","AUT",127
"LTU","AUT",332
"LUX","AUT",196
"MDG","AUT",30
"MWI","AUT",10
"MYS","AUT",140
"MDV","AUT",1
"MLI","AUT",15
"MLT","AUT",34
"MRT","AUT",1
"MUS","AUT",33
"MEX","AUT",484
"FSM","AUT",1
"MCO","AUT",8
"MNG","AUT",640
"MNE","AUT",6112
"MAR","AUT",480
"MOZ","AUT",21
"MMR","AUT",22
"NAM","AUT",61
"NRU","AUT",1
"NPL","AUT",116
"NLD","AUT",2389
"NZL","AUT",112
"NIC","AUT",69
"NER","AUT",6
"NGA","AUT",1434
"MKD","AUT",5451
"NOR","AUT",325
"OMN","AUT",8
"PAK","AUT",918
"PLW","AUT",1
"PAN","AUT",21
"PNG","AUT",16
"PRY","AUT",72
"PER","AUT",621
"PHL","AUT",5049
"POL","AUT",19589
"PRT","AUT",393
"PRI","AUT",2
"QAT","AUT",6
"KOR","AUT",33
"MDA","AUT",606
"ROU","AUT",15560
"RUS","AUT",9568
"RWA","AUT",52
"KNA","AUT",1
"LCA","AUT",3
"VCT","AUT",3
"WSM","AUT",2
"SMR","AUT",1
"STP","AUT",1
"SAU","AUT",109
"SEN","AUT",60
"SRB","AUT",54804
"SYC","AUT",14
"SLE","AUT",35
"SGP","AUT",97
"SVK","AUT",9624
"SVN","AUT",7820
"SLB","AUT",4
"SOM","AUT",264
"ZAF","AUT",859
"ESP","AUT",1229
"LKA","AUT",246
"PSE","AUT",44
"SDN","AUT",92
"SUR","AUT",5
"SWE","AUT",1142
"CHE","AUT",4698
"SYR","AUT",682
"TJK","AUT",88
"THA","AUT",2576
"TGO","AUT",45
"TON","AUT",3
"TTO","AUT",23
"TUN","AUT",613
"TUR","AUT",41468
"TKM","AUT",51
"TUV","AUT",5
"UGA","AUT",71
"UKR","AUT",3197
"ARE","AUT",51
"GBR","AUT",2820
"TZA","AUT",42
"USA","AUT",3068
"URY","AUT",85
"UZB","AUT",231
"VUT","AUT",3
"VEN","AUT",303
"VNM","AUT",980
"YEM","AUT",21
"ZMB","AUT",37
"ZWE","AUT",83
"AFG","AZE",79
"ARM","AZE",107644
"BLR","AZE",512
"EST","AZE",375
"GEO","AZE",38895
"DEU","AZE",234
"IRN","AZE",825
"KAZ","AZE",3103
"KGZ","AZE",1940
"MDA","AZE",341
"RUS","AZE",28517
"TJK","AZE",217
"TUR","AZE",800
"TKM","AZE",1418
"UKR","AZE",3025
"UZB","AZE",12977
"ATG","BHS",6
"ARG","BHS",4
"AUS","BHS",13
"AUT","BHS",11
"BRB","BHS",85
"BEL","BHS",5
"BLZ","BHS",21
"BMU","BHS",15
"BWA","BHS",0
"BRA","BHS",20
"VGB","BHS",2
"BGR","BHS",0
"CAN","BHS",444
"CYM","BHS",6
"CHL","BHS",4
"CHN","BHS",24
"HKG","BHS",18
"COL","BHS",20
"CRI","BHS",5
"CUB","BHS",31
"DNK","BHS",3
"DMA","BHS",20
"DOM","BHS",22
"ECU","BHS",7
"EGY","BHS",5
"SLV","BHS",5
"EST","BHS",0
"SWZ","BHS",0
"FRA","BHS",13
"DEU","BHS",81
"GHA","BHS",11
"GRC","BHS",30
"GRD","BHS",13
"GTM","BHS",6
"GUY","BHS",206
"HTI","BHS",4080
"HND","BHS",2
"IND","BHS",70
"IDN","BHS",2
"IRL","BHS",20
"ITA","BHS",26
"JAM","BHS",2046
"JPN","BHS",2
"KEN","BHS",3
"MEX","BHS",12
"NLD","BHS",18
"NZL","BHS",8
"NIC","BHS",5
"NGA","BHS",10
"NOR","BHS",3
"PAK","BHS",7
"PAN","BHS",11
"PER","BHS",16
"PHL","BHS",32
"POL","BHS",6
"PRT","BHS",1
"ROU","BHS",0
"RUS","BHS",3
"KNA","BHS",7
"LCA","BHS",15
"VCT","BHS",5
"ZAF","BHS",9
"ESP","BHS",11
"LKA","BHS",11
"SWE","BHS",7
"CHE","BHS",32
"TTO","BHS",145
"TCA","BHS",1188
"UGA","BHS",0
"UKR","BHS",0
"GBR","BHS",921
"USA","BHS",2354
"URY","BHS",2
"VEN","BHS",10
"ZWE","BHS",0
"AFG","BHR",61
"BGD","BHR",2049
"TCD","BHR",40
"EGY","BHR",8359
"ERI","BHR",145
"ETH","BHR",102
"FRA","BHR",28
"IND","BHR",14165
"IDN","BHR",3086
"JOR","BHR",1372
"KWT","BHR",497
"LBN","BHR",207
"MAR","BHR",73
"NPL","BHR",65
"NLD","BHR",108
"NGA","BHR",53
"PAK","BHR",5000
"PHL","BHR",3435
"QAT","BHR",7
"SAU","BHR",24
"SOM","BHR",97
"SSD","BHR",196
"LKA","BHR",4319
"PSE","BHR",436
"SDN","BHR",1589
"SYR","BHR",506
"THA","BHR",84
"TUN","BHR",44
"TUR","BHR",368
"ARE","BHR",458
"GBR","BHR",674
"USA","BHR",129
"YEM","BHR",1675
"BHR","BGD",40
"BRA","BGD",253
"KHM","BGD",5945
"CHN","BGD",64474
"IND","BGD",6135
"IDN","BGD",32488
"JPN","BGD",4159
"LAO","BGD",27012
"MYS","BGD",42565
"MMR","BGD",119701
"NPL","BGD",4448
"NOR","BGD",1950
"SGP","BGD",4855
"THA","BGD",7131
"GBR","BGD",4181
"USA","BGD",13137
"VNM","BGD",18440
"ATG","BRB",153
"AUS","BRB",12
"BHS","BRB",30
"CAN","BRB",388
"DMA","BRB",313
"GRD","BRB",374
"GUY","BRB",1553
"IND","BRB",219
"JAM","BRB",425
"LCA","BRB",2095
"VCT","BRB",2148
"TTO","BRB",1077
"GBR","BRB",1641
"USA","BRB",613
"AFG","BLR",34
"DZA","BLR",3
"ARG","BLR",36
"ARM","BLR",2688
"AUS","BLR",9
"AUT","BLR",23
"AZE","BLR",6692
"BEL","BLR",8
"BRA","BLR",37
"BGR","BLR",11
"CAN","BLR",41
"CUB","BLR",1
"CZE","BLR",44
"PRK","BLR",53
"DNK","BLR",44
"EST","BLR",1720
"ETH","BLR",0
"FIN","BLR",475
"GEO","BLR",4214
"DEU","BLR",11
"GRC","BLR",89
"HUN","BLR",142
"IND","BLR",3
"IRN","BLR",3
"IRL","BLR",9
"ISR","BLR",81
"ITA","BLR",1
"JOR","BLR",0
"KAZ","BLR",42432
"KGZ","BLR",3165
"LVA","BLR",5948
"LBN","BLR",0
"LTU","BLR",10284
"MNG","BLR",56
"NOR","BLR",19
"PAK","BLR",0
"POL","BLR",102
"KOR","BLR",8
"MDA","BLR",4123
"ROU","BLR",4
"RUS","BLR",441924
"SRB","BLR",4
"SVK","BLR",14
"ESP","BLR",12
"SWE","BLR",68
"CHE","BLR",9
"SYR","BLR",0
"TJK","BLR",3251
"TUR","BLR",0
"TKM","BLR",3277
"UKR","BLR",136498
"ARE","BLR",6
"GBR","BLR",162
"USA","BLR",19
"URY","BLR",14
"UZB","BLR",8947
"VNM","BLR",75
"YEM","BLR",2
"AFG","BEL",47
"ALB","BEL",1055
"DZA","BEL",10988
"AGO","BEL",618
"ARG","BEL",620
"ARM","BEL",3
"AUS","BEL",320
"AUT","BEL",604
"AZE","BEL",4
"BHS","BEL",6
"BHR","BEL",0
"BGD","BEL",184
"BRB","BEL",16
"BLR","BEL",97
"BEN","BEL",611
"BTN","BEL",59
"BOL","BEL",453
"BIH","BEL",152
"BWA","BEL",12
"BRA","BEL",884
"BGR","BEL",611
"BFA","BEL",189
"BDI","BEL",550
"CPV","BEL",294
"KHM","BEL",583
"CMR","BEL",999
"CAN","BEL",1298
"CAF","BEL",95
"TCD","BEL",86
"CHL","BEL",2270
"CHN","BEL",2104
"COL","BEL",1049
"COG","BEL",2167
"CRI","BEL",70
"CIV","BEL",225
"HRV","BEL",25
"CUB","BEL",221
"CYP","BEL",45
"CZE","BEL",18
"PRK","BEL",996
"COD","BEL",22180
"DNK","BEL",1091
"DJI","BEL",37
"DMA","BEL",48
"DOM","BEL",1246
"ECU","BEL",982
"EGY","BEL",486
"SLV","BEL",162
"GNQ","BEL",749
"ERI","BEL",0
"EST","BEL",32
"ETH","BEL",1201
"FJI","BEL",12
"FIN","BEL",256
"FRA","BEL",57840
"GAB","BEL",148
"GMB","BEL",69
"GEO","BEL",93
"DEU","BEL",27263
"GHA","BEL",1401
"GRC","BEL",8941
"GTM","BEL",2348
"GIN","BEL",248
"GNB","BEL",67
"GUY","BEL",69
"HTI","BEL",862
"HND","BEL",64
"HUN","BEL",591
"ISL","BEL",63
"IND","BEL",2027
"IDN","BEL",800
"IRN","BEL",1303
"IRQ","BEL",35
"IRL","BEL",902
"ISR","BEL",1727
"ITA","BEL",81609
"JAM","BEL",167
"JPN","BEL",1429
"JOR","BEL",158
"KAZ","BEL",8
"KEN","BEL",314
"KWT","BEL",58
"KGZ","BEL",4
"LAO","BEL",550
"LVA","BEL",47
"LBN","BEL",1462
"LSO","BEL",5
"LBR","BEL",111
"LBY","BEL",84
"LIE","BEL",2
"LTU","BEL",49
"LUX","BEL",5413
"MDG","BEL",772
"MWI","BEL",11
"MYS","BEL",192
"MDV","BEL",2
"MLI","BEL",125
"MLT","BEL",135
"MRT","BEL",186
"MUS","BEL",1942
"MEX","BEL",1030
"MCO","BEL",31
"MNG","BEL",32
"MNE","BEL",4
"MAR","BEL",140636
"MOZ","BEL",144
"MMR","BEL",20
"NAM","BEL",16
"NRU","BEL",0
