"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"41489";"SAU";"SUR";0;0;0;0;0;0;0;0;0
"41490";"SAU";"SVK";35;0;35;-35;-1;0;35;35;1
"41491";"SAU";"SVN";13;0;13;-13;-1;0;13;13;1
"41492";"SAU";"SWE";2036;0;2036;-2036;-1;0;2036;2036;1
"41493";"SAU";"SWZ";0;0;0;0;0;0;0;0;0
"41494";"SAU";"SXM";0;0;0;0;0;0;0;0;0
"41495";"SAU";"SYC";0;0;0;0;0;0;0;0;0
"41496";"SAU";"SYR";0;393766;393766;393766;1;0;393766;393766;1
"41497";"SAU";"TCA";0;0;0;0;0;0;0;0;0
"41498";"SAU";"TCD";0;0;0;0;0;0;0;0;0
"41499";"SAU";"TGO";0;0;0;0;0;0;0;0;0
"41500";"SAU";"THA";1;0;1;-1;-1;0;1;1;1
"41501";"SAU";"TJK";0;0;0;0;0;0;0;0;0
"41502";"SAU";"TKL";0;0;0;0;0;0;0;0;0
"41503";"SAU";"TKM";0;0;0;0;0;0;0;0;0
"41504";"SAU";"TLS";0;0;0;0;0;0;0;0;0
"41505";"SAU";"TON";0;0;0;0;0;0;0;0;0
"41506";"SAU";"TTO";0;0;0;0;0;0;0;0;0
"41507";"SAU";"TUN";0;0;0;0;0;0;0;0;0
"41508";"SAU";"TUR";2186;0;2186;-2186;-1;0;2186;2186;1
"41509";"SAU";"TUV";0;0;0;0;0;0;0;0;0
"41510";"SAU";"TZA";0;0;0;0;0;0;0;0;0
"41511";"SAU";"UGA";0;0;0;0;0;0;0;0;0
"41512";"SAU";"UKR";0;0;0;0;0;0;0;0;0
"41513";"SAU";"URY";0;0;0;0;0;0;0;0;0
"41514";"SAU";"USA";38693;0;38693;-38693;-1;0;38693;38693;1
"41515";"SAU";"UZB";0;0;0;0;0;0;0;0;0
"41516";"SAU";"VAT";0;0;0;0;0;0;0;0;0
"41517";"SAU";"VCT";0;0;0;0;0;0;0;0;0
"41518";"SAU";"VEN";1112;0;1112;-1112;-1;0;1112;1112;1
"41519";"SAU";"VGB";0;0;0;0;0;0;0;0;0
"41520";"SAU";"VIR";0;0;0;0;0;0;0;0;0
"41521";"SAU";"VNM";0;0;0;0;0;0;0;0;0
"41522";"SAU";"VUT";0;0;0;0;0;0;0;0;0
"41523";"SAU";"WLF";0;0;0;0;0;0;0;0;0
"41524";"SAU";"WSM";0;0;0;0;0;0;0;0;0
"41525";"SAU";"YEM";0;415997;415997;415997;1;0;415997;415997;1
"41526";"SAU";"ZAF";495;0;495;-495;-1;0;495;495;1
"41527";"SAU";"ZMB";0;0;0;0;0;0;0;0;0
"41528";"SAU";"ZWE";0;0;0;0;0;0;0;0;0
"41529";"SDN";"ABW";0;0;0;0;0;0;0;0;0
"41530";"SDN";"AFG";0;0;0;0;0;0;0;0;0
"41531";"SDN";"AGO";0;0;0;0;0;0;0;0;0
"41532";"SDN";"AIA";0;0;0;0;0;0;0;0;0
"41533";"SDN";"ALB";0;0;0;0;0;0;0;0;0
"41534";"SDN";"AND";0;0;0;0;0;0;0;0;0
"41535";"SDN";"ARE";79574;0;79574;-79574;-1;0;79574;79574;1
"41536";"SDN";"ARG";8;0;8;-8;-1;0;8;8;1
"41537";"SDN";"ARM";0;0;0;0;0;0;0;0;0
"41538";"SDN";"ASM";0;0;0;0;0;0;0;0;0
"41539";"SDN";"ATG";0;0;0;0;0;0;0;0;0
"41540";"SDN";"AUS";10142;0;10142;-10142;-1;0;10142;10142;1
"41541";"SDN";"AUT";466;0;466;-466;-1;0;466;466;1
"41542";"SDN";"AZE";0;0;0;0;0;0;0;0;0
"41543";"SDN";"BDI";0;0;0;0;0;0;0;0;0
"41544";"SDN";"BEL";689;0;689;-689;-1;0;689;689;1
"41545";"SDN";"BEN";0;0;0;0;0;0;0;0;0
"41546";"SDN";"BES";0;0;0;0;0;0;0;0;0
"41547";"SDN";"BFA";0;0;0;0;0;0;0;0;0
"41548";"SDN";"BGD";0;0;0;0;0;0;0;0;0
