i,j,Fij,Fji,FSij,FBij,FAij,minFij,maxFij,rangeFij,FDij
AFG,QAT,1602,0,1602,-1602,-1,0,1602,1602,1
AFG,REU,0,0,0,0,0,0,0,0,0
AFG,ROU,0,0,0,0,0,0,0,0,0
AFG,RUS,5093,0,5093,-5093,-1,0,5093,5093,1
AFG,RWA,0,0,0,0,0,0,0,0,0
AFG,SAU,469324,0,469324,-469324,-1,0,469324,469324,1
AFG,SDN,0,0,0,0,0,0,0,0,0
AFG,SEN,0,0,0,0,0,0,0,0,0
AFG,SGP,0,0,0,0,0,0,0,0,0
AFG,SHN,0,0,0,0,0,0,0,0,0
AFG,SLB,0,0,0,0,0,0,0,0,0
AFG,SLE,0,0,0,0,0,0,0,0,0
AFG,SLV,0,0,0,0,0,0,0,0,0
AFG,SMR,0,0,0,0,0,0,0,0,0
AFG,SOM,0,0,0,0,0,0,0,0,0
AFG,SPM,0,0,0,0,0,0,0,0,0
AFG,SRB,0,0,0,0,0,0,0,0,0
AFG,SSD,0,0,0,0,0,0,0,0,0
AFG,STP,0,0,0,0,0,0,0,0,0
AFG,SUR,0,0,0,0,0,0,0,0,0
AFG,SVK,252,0,252,-252,-1,0,252,252,1
AFG,SVN,40,0,40,-40,-1,0,40,40,1
AFG,SWE,45413,0,45413,-45413,-1,0,45413,45413,1
AFG,SWZ,0,0,0,0,0,0,0,0,0
AFG,SXM,0,0,0,0,0,0,0,0,0
AFG,SYC,0,0,0,0,0,0,0,0,0
AFG,SYR,1018,0,1018,-1018,-1,0,1018,1018,1
AFG,TCA,0,0,0,0,0,0,0,0,0
AFG,TCD,0,0,0,0,0,0,0,0,0
AFG,TGO,0,0,0,0,0,0,0,0,0
AFG,THA,1,0,1,-1,-1,0,1,1,1
AFG,TJK,12346,4596,16942,-7750,-0.457443040963287,4596,12346,7750,0.457443040963287
AFG,TKL,0,0,0,0,0,0,0,0,0
AFG,TKM,216,0,216,-216,-1,0,216,216,1
AFG,TLS,0,0,0,0,0,0,0,0,0
AFG,TON,0,0,0,0,0,0,0,0,0
AFG,TTO,0,0,0,0,0,0,0,0,0
AFG,TUN,0,0,0,0,0,0,0,0,0
AFG,TUR,18390,0,18390,-18390,-1,0,18390,18390,1
AFG,TUV,0,0,0,0,0,0,0,0,0
AFG,TZA,0,0,0,0,0,0,0,0,0
AFG,UGA,0,0,0,0,0,0,0,0,0
AFG,UKR,4860,0,4860,-4860,-1,0,4860,4860,1
AFG,URY,0,0,0,0,0,0,0,0,0
AFG,USA,80026,0,80026,-80026,-1,0,80026,80026,1
AFG,UZB,0,229,229,229,1,0,229,229,1
AFG,VAT,0,0,0,0,0,0,0,0,0
AFG,VCT,0,0,0,0,0,0,0,0,0
AFG,VEN,0,0,0,0,0,0,0,0,0
AFG,VGB,0,0,0,0,0,0,0,0,0
AFG,VIR,0,0,0,0,0,0,0,0,0
AFG,VNM,0,0,0,0,0,0,0,0,0
AFG,VUT,0,0,0,0,0,0,0,0,0
AFG,WLF,0,0,0,0,0,0,0,0,0
AFG,WSM,0,0,0,0,0,0,0,0,0
AFG,YEM,0,0,0,0,0,0,0,0,0
AFG,ZAF,162,0,162,-162,-1,0,162,162,1
AFG,ZMB,0,0,0,0,0,0,0,0,0
