"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"283";"AFG";"CYP";0;0;0;0;0;0;0;0;0
"284";"AFG";"CZE";26;0;26;-26;-1;0;26;26;1
"285";"AFG";"DEU";32463;0;32463;-32463;-1;0;32463;32463;1
"286";"AFG";"DJI";0;0;0;0;0;0;0;0;0
"287";"AFG";"DMA";0;0;0;0;0;0;0;0;0
"288";"AFG";"DNK";1347;0;1347;-1347;-1;0;1347;1347;1
"289";"AFG";"DOM";0;0;0;0;0;0;0;0;0
"290";"AFG";"DZA";0;0;0;0;0;0;0;0;0
"291";"AFG";"ECU";9;0;9;-9;-1;0;9;9;1
"292";"AFG";"EGY";37;0;37;-37;-1;0;37;37;1
"293";"AFG";"ERI";0;0;0;0;0;0;0;0;0
"294";"AFG";"ESH";0;0;0;0;0;0;0;0;0
"295";"AFG";"ESP";129;0;129;-129;-1;0;129;129;1
"296";"AFG";"EST";0;0;0;0;0;0;0;0;0
"297";"AFG";"ETH";0;0;0;0;0;0;0;0;0
"298";"AFG";"FIN";143;0;143;-143;-1;0;143;143;1
"299";"AFG";"FJI";0;0;0;0;0;0;0;0;0
"300";"AFG";"FLK";0;0;0;0;0;0;0;0;0
"301";"AFG";"FRA";1580;0;1580;-1580;-1;0;1580;1580;1
"302";"AFG";"FRO";0;0;0;0;0;0;0;0;0
"303";"AFG";"FSM";0;0;0;0;0;0;0;0;0
"304";"AFG";"GAB";0;0;0;0;0;0;0;0;0
"305";"AFG";"GBR";4957;0;4957;-4957;-1;0;4957;4957;1
"306";"AFG";"GEO";20;0;20;-20;-1;0;20;20;1
"307";"AFG";"GHA";0;0;0;0;0;0;0;0;0
"308";"AFG";"GIB";0;0;0;0;0;0;0;0;0
"309";"AFG";"GIN";0;0;0;0;0;0;0;0;0
"310";"AFG";"GLP";0;0;0;0;0;0;0;0;0
"311";"AFG";"GMB";0;0;0;0;0;0;0;0;0
