"i","j","fij"
"NER","TGO",66155
"UZB","USA",66093
"BFA","GHA",66069
"PAK","DEU",66033
"JPN","BRA",65955
"IRQ","ISR",65924
"GBR","ITA",65645
"BLR","USA",65327
"GEO","UKR",65042
"RUS","NLD",64997
"CZE","AUT",64923
"SGP","AUS",64739
"PRY","ESP",64547
"ZWE","BWA",64477
"PRK","KAZ",64370
"CHE","ESP",63515
"BRA","FRA",63208
"BRB","USA",63152
"MWI","MOZ",62854
"POL","ESP",62811
"ETH","SDN",62565
"BGD","CAN",62554
"HRV","AUS",62527
"ISR","PSE",62458
"BGR","ITA",62358
"ITA","ROU",61975
"EST","FIN",61365
"BEL","NLD",60996
"AUT","CHE",60862
"CPV","PRT",60543
"GBR","JEY",60480
"BFA","MLI",60060
"BIH","SWE",59939
"ZWE","USA",59895
"BDI","COD",59826
"AFG","AUS",59798
"USA","FRA",59356
"SDN","EGY",59277
"BRA","DEU",59082
"EST","RUS",58737
"ARG","PRY",58535
"BLZ","USA",58472
"SGP","GBR",58432
"MOZ","MWI",58344
"COM","MYT",57991
"ZAF","NZL",57969
"CAN","AUS",57798
"HND","ESP",57764
"POL","ISR",57653
"PSE","ARE",57445
"BIH","CHE",57373
"DZA","ESP",57140
"LKA","USA",57135
"CHL","ESP",56704
"FRA","GLP",56600
"SYR","CAN",56404
"FJI","NZL",56344
"USA","JPN",56321
"SWE","USA",56279
"POL","AUS",56275
"URY","USA",56230
"CHN","RUS",56157
"UKR","HUN",55609
"GBR","NLD",55445
"AFG","CAN",55339
"JOR","PSE",55322
"AFG","GBR",55227
"AUT","USA",55214
"PAK","ESP",55043
"MLI","GAB",54744
"BDI","UGA",54494
"TZA","USA",54259
"USA","ITA",54184
"WSM","NZL",54108
"PRT","VEN",53473
"GIN","SEN",53438
"LTU","POL",53423
"JOR","KWT",53365
"COD","ZAF",53363
"ERI","SWE",53250
"CMR","USA",53185
"JPN","AUS",53175
"MEX","ESP",53158
"VEN","ITA",53007
"JPN","GBR",52930
"IND","FRA",52921
"RUS","GRC",52816
"PRY","BRA",52770
"LKA","FRA",52703
"ERI","DEU",52580
"HKG","SGP",52516
"HUN","AUT",52494
"SWE","NOR",52421
"MKD","AUS",52201
"BOL","BRA",52184
"SYR","ARE",52142
"DEU","SWE",52052
"PHL","DEU",52014
"MYS","BRN",52001
"BGD","AUS",51968
"LBN","FRA",51930
"BEN","GAB",51809
"SEN","ESP",51789
"GHA","ITA",51364
"SLV","CAN",51207
"GRC","GBR",50971
"ALB","DEU",50894
"IRN","ISR",50881
"SVK","DEU",50687
"DOM","PRI",50643
"PHL","BHR",50585
"FJI","USA",50561
"AZE","KAZ",50552
"CMR","GAB",50273
"TUR","SWE",50188
"PER","JPN",50065
"ITA","VEN",50022
"THA","JPN",49967
"ITA","BRA",49965
"ESP","BEL",49889
"MMR","IND",49720
"BRA","ARG",49647
"UGA","USA",49354
"YEM","USA",49289
"GEO","AZE",49137
"TUR","KAZ",49003
"SDN","USA",48947
"MUS","FRA",48820
"MUS","GBR",48766
"HRV","USA",48534
"TZA","GBR",48505
"EGY","AUS",48382
"RUS","LTU",48338
"NLD","ESP",48248
"USA","ESP",48225
"SDN","KWT",48204
"SVK","GBR",48091
"ARM","UKR",47780
"PRT","ZAF",47622
"ZAF","CAN",47564
"BRA","GBR",47487
"MKD","SRB",47482
"MDA","USA",47437
"UKR","PRT",47323
"SRB","HRV",47261
"HRV","AUT",47226
"BEL","ESP",47148
"BEL","ITA",47147
"GHA","TGO",47093
"GBR","CHE",47083
"FRA","MTQ",47049
"LAO","FRA",46932
"CHE","USA",46906
"VNM","CZE",46631
"IND","BTN",46627
"USA","BGD",46614
"ARG","BOL",46609
"PHL","KOR",46528
"MRT","SEN",46518
"PHL","ESP",46322
"LVA","GBR",46248
"IRQ","NLD",46245
"FRA","NCL",46240
"ESP","ROU",46238
"DOM","ITA",46127
"HUN","GBR",46097
"LTU","DEU",46083
"PER","VEN",46044
"SEN","USA",45695
"HRV","SVN",45612
"AFG","SWE",45413
"SRB","ITA",45410
"NGA","CAN",45188
"GIN","GMB",45163
"ZWE","AUS",45102
"FRA","LUX",45063
"SLE","USA",45031
"ROU","GRC",45020
"COL","PAN",44952
"IDN","JPN",44937
"TZA","RWA",44877
"MLI","GIN",44855
"NGA","CIV",44791
"MLT","AUS",44552
"PHL","OMN",44546
"DZA","ISR",44422
"SYR","LBY",44184
"GTM","MEX",44178
"COD","ZMB",44073
"NGA","DEU",44015
"IDN","QAT",43909
"THA","SWE",43741
"CPV","USA",43729
"POL","DNK",43640
"PSE","USA",43387
"SWE","FIN",43205
"LKA","DEU",43198
"ZMB","MWI",42971
"BLR","LVA",42944
"TUR","AUS",42880
"NLD","FRA",42826
"SDN","ETH",42651
"HRV","CAN",42649
"LTU","USA",42600
"THA","GBR",42556
"BRA","AUS",42552
"UKR","MDA",42548
"AGO","COG",42506
"LTU","IRL",42347
"IND","ZAF",42302
"MLT","GBR",42224
"POL","CHE",42095
"NOR","SWE",41885
"IDN","CHN",41882
"SRB","HUN",41807
"BRA","CHE",41601
"SRB","USA",41382
"ESP","BRA",41321
"LBN","ARE",41293
"TGO","CIV",41253
"CHN","ZAF",41004
"LTU","NOR",40888
"ITA","ZAF",40824
"COL","ITA",40769
"FRA","AUS",40733
"FRA","ISR",40694
"GIN","MLI",40457
"RUS","POL",40399
"COM","FRA",40337
"RUS","MDA",40123
"NPL","GBR",40003
"BGD","MDV",39901
"BEL","USA",39854
"PHL","NZL",39837
"EGY","GBR",39593
"AGO","NAM",39580
"NPL","BGD",39573
"BHS","USA",39420
"USA","CHE",39304
"ERI","USA",39234
"AGO","MOZ",39224
"HUN","CAN",39214
"DNK","SWE",39205
"UZB","DEU",39088
"ARG","BRA",39078
"SGP","USA",39018
"SWE","GBR",38937
"RUS","GBR",38917
"ZMB","CZE",38824
"VNM","KHM",38744
"LKA","KWT",38707
"GRD","USA",38501
"BIH","CAN",38479
"DEU","DNK",38375
"KHM","AUS",38278
"ARG","ISR",38259
"TUN","DEU",38220
"PRT","BEL",38096
"GEO","ARM",37886
"IND","ESP",37857
"VNM","GBR",37805
"IND","SWE",37803
"BIH","AUS",37802
"BGR","GBR",37744
"GBR","CYP",37684
"SYR","DNK",37667
"SAU","LBY",37639
"TUR","ARE",37621
"MMR","AUS",37537
"CUB","ITA",37307
"ZWE","MWI",37294
"AFG","NLD",37216
"SOM","UGA",37207
"FRA","MAR",37173
"CHN","PHL",37083
"RUS","GEO",37060
"TZA","KEN",37027
"NZL","USA",36885
"KEN","UGA",36822
"MLI","BFA",36763
"SVN","DEU",36746
"USA","PHL",36683
"GBR","POL",36585
"RUS","AUT",36562
"GIN","SLE",36325
"RUS","CZE",36218
"ECU","VEN",36215
"CZE","GBR",35906
"LBY","ITA",35852
"YEM","QAT",35574
"ZMB","GBR",35516
"SRB","CAN",35491
"LKA","CHE",35481
"MLI","SEN",35383
"NLD","ZAF",35207
"ITA","AUT",35105
"SRB","AUS",35019
"DMA","USA",34965
"MLI","COG",34961
"TUR","DNK",34938
"ETH","CAN",34921
"CHN","MMR",34893
"IND","BGD",34884
"BGR","BEL",34769
"CHN","SWE",34476
"BEL","GBR",34459
"COG","ZAF",34445
