"i","j","fij"
"BLZ","BDI",0
"USA","BDI",0
"VIR","BDI",0
"BFA","BDI",0
"URY","BDI",0
"UZB","BDI",0
"VEN","BDI",0
"WLF","BDI",0
"WSM","BDI",0
"YEM","BDI",0
"ZMB","BDI",0
"SLB","BDI",0
"VGB","BDI",0
"BRN","BDI",0
"BGR","BLR",60
"MMR","BLR",0
"BDI","BLR",0
"BLR","BLR",0
"KHM","BLR",0
"DZA","BLR",52
"CMR","BLR",0
"CAN","BLR",153
"CPV","BLR",0
"CYM","BLR",0
"CAF","BLR",0
"LKA","BLR",0
"TCD","BLR",0
"CHL","BLR",0
"CHN","BLR",0
"ASM","BLR",0
"COL","BLR",0
"COM","BLR",0
"MYT","BLR",0
"COG","BLR",0
"COD","BLR",0
"COK","BLR",0
"CRI","BLR",0
"HRV","BLR",0
"CUB","BLR",43
"CYP","BLR",0
"AND","BLR",0
"CZE","BLR",94
"BEN","BLR",0
"DNK","BLR",196
"DMA","BLR",0
"DOM","BLR",0
"ECU","BLR",0
"SLV","BLR",0
"GNQ","BLR",0
"ETH","BLR",24
"ERI","BLR",0
"EST","BLR",3202
"FRO","BLR",0
"FLK","BLR",0
"AGO","BLR",0
"FJI","BLR",0
"FIN","BLR",2084
"FRA","BLR",0
"GUF","BLR",0
"PYF","BLR",0
"DJI","BLR",0
"GAB","BLR",0
"GEO","BLR",8400
"GMB","BLR",0
"PSE","BLR",0
"DEU","BLR",65
"ATG","BLR",0
"GHA","BLR",0
"GIB","BLR",0
"KIR","BLR",0
"GRC","BLR",106
"GRL","BLR",0
"GRD","BLR",0
"AZE","BLR",13324
"GLP","BLR",0
"GUM","BLR",0
"ARG","BLR",100
"GTM","BLR",0
"GIN","BLR",0
"GUY","BLR",0
"HTI","BLR",0
"VAT","BLR",0
"HND","BLR",0
"HKG","BLR",0
"HUN","BLR",337
"ISL","BLR",0
"IND","BLR",47
"AUS","BLR",27
"IDN","BLR",0
"IRN","BLR",48
"IRQ","BLR",0
"IRL","BLR",23
"ISR","BLR",382
"ITA","BLR",23
"CIV","BLR",0
"JAM","BLR",0
"JPN","BLR",0
"KAZ","BLR",69084
"AFG","BLR",278
"AUT","BLR",58
"JOR","BLR",29
"KEN","BLR",0
"PRK","BLR",59
"KOR","BLR",28
"KWT","BLR",0
"KGZ","BLR",5168
"LAO","BLR",0
"LBN","BLR",64
"LSO","BLR",0
"LVA","BLR",10355
"LBR","BLR",0
"LBY","BLR",0
"LIE","BLR",0
"BHS","BLR",0
"LTU","BLR",17168
"LUX","BLR",0
"MAC","BLR",0
"MDG","BLR",0
"MWI","BLR",0
"MYS","BLR",0
"MDV","BLR",0
"MLI","BLR",0
"MLT","BLR",0
"MTQ","BLR",0
"MRT","BLR",0
"BHR","BLR",0
"MUS","BLR",0
"MEX","BLR",0
"MCO","BLR",0
"MNG","BLR",165
"MDA","BLR",7513
"MNE","BLR",0
"BGD","BLR",0
