"i","j","fij"
"MYS","AUT",300
"MDV","AUT",6
"MLI","AUT",61
"MLT","AUT",68
"MRT","AUT",21
"MUS","AUT",72
"MEX","AUT",939
"FSM","AUT",1
"MCO","AUT",16
"MNG","AUT",1120
"MNE","AUT",13573
"MAR","AUT",1197
"MOZ","AUT",42
"MMR","AUT",44
"NAM","AUT",114
"NRU","AUT",1
"NPL","AUT",365
"NLD","AUT",5267
"NZL","AUT",275
"NIC","AUT",130
"NER","AUT",20
"NGA","AUT",5273
"MKD","AUT",13623
"NOR","AUT",601
"OMN","AUT",20
"PAK","AUT",2991
"PLW","AUT",1
"PAN","AUT",39
"PNG","AUT",37
"PRY","AUT",142
"PER","AUT",1049
"PHL","AUT",8611
"POL","AUT",38190
"PRT","AUT",1071
"PRI","AUT",4
"QAT","AUT",17
"KOR","AUT",78
"MDA","AUT",1106
"ROU","AUT",28168
"RUS","AUT",19246
"RWA","AUT",132
"KNA","AUT",2
"LCA","AUT",9
"VCT","AUT",7
"WSM","AUT",3
"SMR","AUT",1
"STP","AUT",2
"SAU","AUT",297
"SEN","AUT",208
"SRB","AUT",121286
"SYC","AUT",27
"SLE","AUT",166
"SGP","AUT",179
"SVK","AUT",16884
"SVN","AUT",14355
"SLB","AUT",9
"SOM","AUT",756
"ZAF","AUT",1736
"ESP","AUT",2562
"LKA","AUT",610
"PSE","AUT",172
"SDN","AUT",395
"SUR","AUT",13
"SWE","AUT",2207
"CHE","AUT",9820
"SYR","AUT",2063
"TJK","AUT",177
"THA","AUT",3484
"TGO","AUT",136
"TON","AUT",5
"TTO","AUT",43
"TUN","AUT",2294
"TUR","AUT",99359
"TKM","AUT",87
"TUV","AUT",8
"UGA","AUT",170
"UKR","AUT",5115
"ARE","AUT",109
"GBR","AUT",6845
"TZA","AUT",98
"USA","AUT",6869
"URY","AUT",175
"UZB","AUT",469
"VUT","AUT",5
"VEN","AUT",569
"VNM","AUT",2078
"YEM","AUT",59
"ZMB","AUT",71
"ZWE","AUT",186
"AFG","AZE",223
"ARM","AZE",205368
"BLR","AZE",549
"EST","AZE",581
"GEO","AZE",61233
"DEU","AZE",341
"IRN","AZE",1832
"KAZ","AZE",4336
"KGZ","AZE",3061
"MDA","AZE",339
"RUS","AZE",34436
"TJK","AZE",298
"TUR","AZE",2540
"TKM","AZE",2065
"UKR","AZE",3372
"UZB","AZE",20391
"ATG","BHS",10
"ARG","BHS",8
"AUS","BHS",46
"AUT","BHS",18
"BRB","BHS",171
"BEL","BHS",14
"BLZ","BHS",22
"BMU","BHS",23
"BWA","BHS",0
"BRA","BHS",41
