"i","j","fij"
"ZWE","AUS",20276
"AFG","AUT",5779
"ALB","AUT",1556
"DZA","AUT",979
"AND","AUT",2
"AGO","AUT",185
"ATG","AUT",0
"ARG","AUT",762
"ARM","AUT",1537
"AUS","AUT",1237
"AZE","AUT",554
"BHS","AUT",12
"BHR","AUT",11
"BGD","AUT",1821
"BRB","AUT",11
"BLR","AUT",427
"BEL","AUT",1225
"BLZ","AUT",20
"BEN","AUT",55
"BMU","AUT",9
"BTN","AUT",14
"BOL","AUT",231
"BIH","AUT",78890
"BWA","AUT",10
"BRA","AUT",1805
"BRN","AUT",6
"BGR","AUT",6814
"BFA","AUT",67
"BDI","AUT",58
"CPV","AUT",17
"KHM","AUT",421
"CMR","AUT",410
"CAN","AUT",1228
"CAF","AUT",19
"TCD","AUT",8
"CHL","AUT",586
"CHN","AUT",7848
"HKG","AUT",136
"MAC","AUT",7
"COL","AUT",620
"COG","AUT",254
"CRI","AUT",66
"CIV","AUT",148
"HRV","AUT",18884
"CUB","AUT",262
"CYP","AUT",173
"CZE","AUT",20921
"PRK","AUT",978
"COD","AUT",384
"DNK","AUT",607
"DJI","AUT",5
"DMA","AUT",14
"DOM","AUT",891
"ECU","AUT",288
"EGY","AUT",9400
"SLV","AUT",29
"GNQ","AUT",6
"ERI","AUT",46
"EST","AUT",96
"SWZ","AUT",8
"ETH","AUT",523
"FJI","AUT",7
"FIN","AUT",432
"FRA","AUT",4024
"GAB","AUT",15
"GMB","AUT",562
"GEO","AUT",1711
"DEU","AUT",102235
"GHA","AUT",1417
"GRC","AUT",2549
"GRD","AUT",6
"GUM","AUT",1
"GTM","AUT",188
"GIN","AUT",238
"GNB","AUT",60
"GUY","AUT",4
"HTI","AUT",28
"HND","AUT",40
"HUN","AUT",20145
"ISL","AUT",84
"IND","AUT",7891
"IDN","AUT",394
"IRN","AUT",8716
"IRQ","AUT",3430
"IRL","AUT",544
"ISR","AUT",1433
"ITA","AUT",15072
"JAM","AUT",89
"JPN","AUT",863
"JOR","AUT",519
"KAZ","AUT",412
"KEN","AUT",313
"KWT","AUT",161
"KGZ","AUT",217
"LAO","AUT",54
