"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"132";"MHL";3337;11;1310;6;4647;2027;0,436195394878416
"133";"MKD";230116;46;52651;19;282767;177465;0,627601523515828
"134";"MLI";505082;54;96356;23;601438;408726;0,679581270222367
"135";"MLT";49868;37;11812;83;61680;38056;0,616990920881971
"136";"MMR";990423;45;38636;4;1029059;951787;0,924910039171709
"137";"MNG";19770;36;7202;30;26972;12568;0,465964704137624
"138";"MNP";1352;8;15524;12;16876;-14172;-0,839772457928419
"139";"MOZ";410361;48;118951;16;529312;291410;0,550544858231062
"140";"MRT";63480;41;31397;35;94877;32083;0,338153609410078
"141";"MSR";7098;16;529;10;7627;6569;0,861282286613347
"142";"MTQ";6742;15;25182;15;31924;-18440;-0,577621851898258
"143";"MUS";59804;33;8389;22;68193;51415;0,753963016731923
"144";"MWI";128982;35;81100;12;210082;47882;0,227920526270694
"145";"MYS";631440;70;1043036;22;1674476;-411596;-0,245805852099403
"146";"MYT";3138;3;30818;3;33956;-27680;-0,81517257627518
"147";"NAM";32108;33;56561;83;88669;-24453;-0,2757784569579
"148";"NCL";2490;10;27643;16;30133;-25153;-0,834732685096074
"149";"NER";182607;47;54014;13;236621;128593;0,543455568187101
"150";"NGA";436337;89;506652;9;942989;-70315;-0,0745660871971995
"151";"NIC";210252;48;16934;53;227186;193318;0,850923912565035
"152";"NIU";2590;7;245;7;2835;2345;0,827160493827161
"153";"NLD";402516;94;841262;180;1243778;-438746;-0,352752661648622
"154";"NOR";77933;65;171137;168;249070;-93204;-0,374208053960734
"155";"NPL";634984;55;218868;6;853852;416116;0,487339726322595
"156";"NRU";939;14;1119;10;2058;-180;-0,0874635568513119
"157";"NZL";281158;81;390058;62;671216;-108900;-0,162242854759124
"158";"OMN";9652;34;510519;19;520171;-500867;-0,962889126844826
"159";"PAK";2391824;101;1706722;8;4098546;685102;0,167157328476977
"160";"PAN";65753;49;59511;88;125264;6242;0,0498307574402861
"161";"PER";439816;65;38350;77;478166;401466;0,839595454298298
"162";"PHL";1621020;100;97825;90;1718845;1523195;0,886173564224814
"163";"PLW";1825;12;3056;8;4881;-1231;-0,25220241753739
"164";"PNG";2229;27;17103;21;19332;-14874;-0,769397889509621
"165";"POL";1309811;76;287428;117;1597239;1022383;0,640093937100209
"166";"PRI";711226;38;159941;45;871167;551285;0,632812078510779
"167";"PRK";44176;51;18507;20;62683;25669;0,409504969449452
"168";"PRT";899776;79;374662;128;1274438;525114;0,412035736536418
"169";"PRY";238523;44;85793;17;324316;152730;0,470929587192738
"170";"PSE";1566404;54;109190;14;1675594;1457214;0,869670099081281
"171";"PYF";1372;10;16253;19;17625;-14881;-0,844312056737589
"172";"QAT";9231;38;484349;33;493580;-475118;-0,962595729162446
"173";"REU";1069;11;54332;5;55401;-53263;-0,961408638833234
"174";"ROU";988514;69;63442;76;1051956;925072;0,879382787873257
"175";"RUS";4446927;101;5804136;148;10251063;-1357209;-0,132396903618678
"176";"RWA";140620;50;203679;5;344299;-63059;-0,183151853476194
"177";"SAU";104065;65;4319801;17;4423866;-4215736;-0,952952914939105
"178";"SDN";675633;60;258847;15;934480;416786;0,446008475301772
"179";"SEN";287814;61;109033;26;396847;178781;0,450503594584311
"180";"SGP";112097;56;668842;15;780939;-556745;-0,712917398157859
"181";"SHN";1516;9;73;2;1589;1443;0,908118313404657
"182";"SLB";1456;18;1597;15;3053;-141;-0,0461840812315755
"183";"SLE";74586;44;76209;39;150795;-1623;-0,0107629563314434
"184";"SLV";568652;45;16961;48;585613;551691;0,942074373348952
"185";"SMR";1299;14;2233;9;3532;-934;-0,264439411098528
"186";"SOM";591227;60;615;2;591842;590612;0,997921742627255
"187";"SPM";221;8;587;3;808;-366;-0,452970297029703
"188";"SRB";476097;45;377584;76;853681;98513;0,115397906243667
"189";"STP";13883;20;1701;6;15584;12182;0,781699178644764
"190";"SUR";116931;39;10762;4;127693;106169;0,831439468099269
"191";"SVK";128740;49;58660;93;187400;70080;0,373959445037353
"192";"SVN";52919;44;113124;153;166043;-60205;-0,36258679980487
"193";"SWE";120351;75;492853;197;613204;-372502;-0,607468313970555
"194";"SWZ";24645;24;13173;17;37818;11472;0,303347612248136
"195";"SXM";11609;11;5729;33;17338;5880;0,339139462452417
"196";"SYC";10058;27;5583;26;15641;4475;0,286107026404961
"197";"SYR";511972;78;398216;5;910188;113756;0,124980773202899
"198";"TCA";532;10;4198;6;4730;-3666;-0,775052854122622
"199";"TCD";113702;46;155592;10;269294;-41890;-0,155554895393139
"200";"TGO";192070;42;94375;30;286445;97695;0,341060238440189
"201";"THA";232848;75;1085910;49;1318758;-853062;-0,646867734641231
"202";"TJK";327751;44;121274;35;449025;206477;0,459834084961862
"203";"TKL";1037;6;116;4;1153;921;0,798785776235906
"204";"TKM";111042;44;99615;11;210657;11427;0,0542445776784061
"205";"TLS";50258;12;4890;15;55148;45368;0,822659026619279
"206";"TON";24033;24;637;5;24670;23396;0,948358329955411
"207";"TTO";139313;52;18628;16;157941;120685;0,764114447800128
"208";"TUN";329618;57;14620;17;344238;314998;0,915058767480638
"209";"TUR";1445075;82;569509;110;2014584;875566;0,434613796198123
"210";"TUV";1482;18;56;5;1538;1426;0,927178153446034
"211";"TZA";118671;51;482175;27;600846;-363504;-0,604986968374592
"212";"UGA";277800;51;290794;47;568594;-12994;-0,0228528616200663
"213";"UKR";2557797;74;2016409;30;4574206;541388;0,118356715897797
"214";"URY";146476;54;34318;17;180794;112158;0,620363507638528
"215";"USA";1151504;160;18317039;150;19468543;-17165535;-0,881706196503765
"216";"UZB";880088;52;550397;10;1430485;329691;0,230474978765943
"217";"VCT";26695;37;2047;15;28742;24648;0,8575603646232
"218";"VEN";194708;66;538104;113;732812;-343396;-0,468600405015202
"219";"VGB";2607;19;5732;21;8339;-3125;-0,374745173282168
"220";"VIR";2155;17;25639;20;27794;-23484;-0,844930560552637
"221";"VNM";1076437;66;28839;22;1105276;1047598;0,947815749188438
"222";"VUT";3837;23;903;9;4740;2934;0,618987341772152
"223";"WLF";3700;6;1081;5;4781;2619;0,547793348671826
"224";"WSM";48840;24;2731;21;51571;46109;0,894087762502181
"225";"YEM";413352;49;81310;12;494662;332042;0,67125026785967
"226";"ZAF";295014;79;762498;150;1057512;-467484;-0,44206023194063
"227";"ZMB";86755;48;115970;29;202725;-29215;-0,144111481070416
"228";"ZWE";255384;50;182509;6;437893;72875;0,16642193412546
