"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"174";"QAT";21622;39;1406620;33;1428242;-1384998;-0,969722217943458
"175";"REU";2773;12;110834;5;113607;-108061;-0,951182585580114
"176";"ROU";3370044;71;160891;76;3530935;3209153;0,90886776448731
"177";"RUS";10130259;102;11194137;148;21324396;-1063878;-0,0498901821181711
"178";"RWA";331087;53;410794;5;741881;-79707;-0,107439063677328
"179";"SAU";203703;68;8147064;17;8350767;-7943361;-0,951213343636579
"180";"SDN";1234913;62;590487;15;1825400;644426;0,353032759943026
"181";"SEN";559557;63;216300;26;775857;343257;0,442423023830422
"182";"SGP";278308;59;1919435;15;2197743;-1641127;-0,746732898250614
"183";"SHN";4269;9;207;2;4476;4062;0,907506702412869
"184";"SLB";3348;18;2148;15;5496;1200;0,218340611353712
"185";"SLE";126868;45;78288;39;205156;48580;0,236795414221373
"186";"SLV";1337458;46;40202;48;1377660;1297256;0,941637268992349
"187";"SMR";2265;15;4651;9;6916;-2386;-0,344997108155003
"188";"SOM";1589706;61;26220;2;1615926;1563486;0,967548018906806
"189";"SPM";391;8;997;3;1388;-606;-0,436599423631124
"190";"SRB";829298;48;825407;76;1654705;3891;0,0023514765471791
"191";"SSD";403896;22;255341;12;659237;148555;0,225343844474749
"192";"STP";30887;21;2640;6;33527;28247;0,842514987920184
"193";"SUR";261654;41;23306;4;284960;238348;0,8364261650758
"194";"SVK";261356;52;145707;93;407063;115649;0,284105900069522
"195";"SVN";123291;47;233850;153;357141;-110559;-0,309566809747411
"196";"SWE";304911;76;1291187;197;1596098;-986276;-0,617929475508396
"197";"SWZ";69003;24;25044;17;94047;43959;0,467415228555935
"198";"SXM";25352;12;23963;33;49315;1389;0,0281658724526006
"199";"SYC";25978;28;11053;26;37031;14925;0,403040695633388
"200";"SYR";1084203;79;1616221;5;2700424;-532018;-0,197012765402766
"201";"TCA";2280;11;12934;6;15214;-10654;-0,700276061522282
"202";"TCD";202288;48;406162;10;608450;-203874;-0,335071082258197
"203";"TGO";417150;43;235242;30;652392;181908;0,278832358459331
"204";"THA";773556;78;3223380;49;3996936;-2449824;-0,612925500933715
"205";"TJK";584770;45;279502;35;864272;305268;0,353208249254864
"206";"TKL";2168;6;395;4;2563;1773;0,691767460007803
"207";"TKM";236614;45;194476;11;431090;42138;0,0977475701129694
"208";"TLS";35020;13;10162;15;45182;24858;0,550174848390952
"209";"TON";52049;25;1295;5;53344;50754;0,951447210557888
"210";"TTO";350533;55;40940;16;391473;309593;0,790841258528685
"211";"TUN";616386;59;35123;17;651509;581263;0,892179540113797
"212";"TUR";2723385;84;1255160;110;3978545;1468225;0,369035665048403
"213";"TUV";3011;18;120;5;3131;2891;0,92334717342702
"214";"TZA";263122;54;302821;27;565943;-39699;-0,0701466402093497
"215";"UGA";700398;54;490451;47;1190849;209947;0,176300269807507
"216";"UKR";5433315;76;4479641;30;9912956;953674;0,0962048051055608
"217";"URY";338334;56;70395;17;408729;267939;0,655541936099469
"218";"USA";2669958;162;42071829;150;44741787;-39401871;-0,88065036383102
"219";"UZB";1880557;53;1140101;10;3020658;740456;0,245130696689264
"220";"VCT";55545;39;4282;15;59827;51263;0,856853928828121
"221";"VEN";558491;68;1347170;113;1905661;-788679;-0,413861122203792
"222";"VGB";4961;21;14478;21;19439;-9517;-0,489582797469006
"223";"VIR";3713;19;55526;20;59239;-51813;-0,874643393710225
"224";"VNM";2356176;68;57368;22;2413544;2298808;0,952461608323693
"225";"VUT";7846;23;2191;9;10037;5655;0,563415363156322
"226";"WLF";7462;6;1599;5;9061;5863;0,647058823529412
"227";"WSM";104817;24;4671;21;109488;100146;0,914675580885577
"228";"YEM";877385;50;252933;12;1130318;624452;0,552456919203268
"229";"ZAF";745100;82;1931919;150;2677019;-1186819;-0,443336039079289
"230";"ZMB";208307;50;131183;29;339490;77124;0,227176058204954
"231";"ZWE";715395;52;286642;6;1002037;428753;0,42788140557684
